Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Bases_Informes,Cod_Bases_Informes,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Direc_Estable,Tel_Estable,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Fecha_Nacimiento,Edad,Edad_RECO,Sexo_RECO,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Ciclo,Cod_Distrito,Año_Cierre,Etnia_RECO,Identificacion_Etnica_RECO,IE_Idioma_Materno_Recodificado,IE_Idioma_Materno_RECO,IE_Destreza_Dominio_Idioma_Materno,Idiom_Mater_Hab,Idiom_Mater_Ent,Idiom_Mater_Lee,Idiom_Mater_Esc,IE_Frecuencia_Uso_Idioma_Materno,IE_Frecuencia_Uso_Idioma_Materno_RECO,IE_Segundo_Idioma_Materno_RECO,IE_Habilidad_Dominio_Segunda_Lengua,Entiendo_Oirlo,Entiendo_Leerlo,Puedo_Escribir,Lo_Hablo,Ed_Asistio_Preprimaria,Ed_Area_De_Escuela_Finalizo_Primaria,Ed_Repitio_Algun_Grado_Primaria,Ed_Que_Grados_Repitio,Gr_Primero,Gr_Segundo,Gr_Tercero,Gr_Cuarto,Gr_Quinto,Gr_Sexto,Ed_Trabaja_Actualmente,Ed_Jornada_Trabaja_RECO,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,Pp_Tierra,Pp_Madera_Rustica,Pp_Torta_Cemento,Pp_Piso_Granito,Pp_Piso_Ceramico,Pp_Madera_Fina,CC_Material_Predomina_En_Paredes_Casa,Pa_Madera_Rustica,Pa_Madera_Fina,Pa_Adobe,Pa_Lamina,Pa_Block,Pa_Ladrillo,CC_Material_Predomina_En_Techo_Casa,Pt_Material_Perecedero,Pt_Lamina,Pt_Teja,Pt_Duralita,Pt_Terraza_Fundida,CC_Como_Obtiene_El_Agua_Para_Lavar,Al_Fuente_Natural,Al_Chorro_Publico,Al_Tuberia,Al_Comprada,CC_Agua_Utiliza_Para_Beber,Ab_Natural,Ab_Chorro,Ab_Comprada_Cisterna,Ab_Comprada_Embotellada,CC_Electricidad,CC_Ambiente_Cocina_Separada,CC_Combustible_Utiliza_Cocina,CU_Leña,CU_Gas,CU_Electricidad,CC_Cuenta_Linea_Telefonica,CC_Tiene_Familia_Celular,CC_Servicio_Tv_Cable,CC_Servicio_Internet,CC_Electrodomesticos,Televisor,Refrigerador,Equipo_Sonido,VHS_DVD,Lavadora_Ropa,Secadora_Ropa,Horno_Microondas,Computadoras,Consola_Videojuegos,Otros_Electrodomesticos,CC_Tipo_Sanitarios,Cc_No_Hay,Cc_Letrina,Cc_Inodoro,Cc_Familia_Automovil,CC_Como_Se_Moviliza_Usualmente,Cc_A_Pie,Cc_Bicicleta,Cc_Motocicleta,Cc_Publico,Cc_Bus_Escolar,Cc_Automovil,CC_Tiempo_Casa_Al_Establecimiento,Cc_0_15,Cc_16_30,Cc_31_45,Cc_46_60,Cc_61_75,Cc_76_90,Cc_91_105,Cc_M_105,Cc_Casa_Donde_Vive_Familia,Cc_Casa_Alquilada,Cc_Casa_Propia,Cc_Cuantos_Niveles_Construccion_Casa,Cc_Cuantos_Niveles_1,Cc_Cuantos_Niveles_2,Cc_Cuantos_Niveles_3,Cc_Cuantos_Niveles_4,Cc_Cuantos_Niveles_5,Cc_Cuantos_Niveles_Mas5,Cc_Cuantos_Dormitorios_Hay_En_Casa,Cc_Cuantos_Dormitorios_1,Cc_Cuantos_Dormitorios_2,Cc_Cuantos_Dormitorios_3,Cc_Cuantos_Dormitorios_4,Cc_Cuantos_Dormitorios_5,Cc_Cuantos_Dormitorios_Mas5,Cc_Cuantas_Personas_Viven_En_Casa,Cc_Cuantas_Personas_1,Cc_Cuantas_Personas_2,Cc_Cuantas_Personas_3,Cc_Cuantas_Personas_4,Cc_Cuantas_Personas_5,Cc_Cuantas_Personas_Mas5,Cc_Recibe_Remesas,Tec_Poseen_Comp_Estable_Uso_Alumnos,Tec_Utiliza_Computadora_Realizar_Tareas_Estable,Tec_Periodos_Semana_Utiliza_Computadora,Tec_Periodos_Semana_Utiliza_Computadora_RECO,Tec_Horas_Diarias_Uso_Compu_Estab,Tec_Horas_Diarias_Uso_Compu_Estab_RECO,Tec_Horas_Diarias_Uso_Compu_Casa,Tec_Horas_Diarias_Uso_Compu_Casa_RECO,Tec_Utiliza_Internet_Para_Investigaciones,Tec_Recibido_Curso_Computacion,Mate_Periodos_Matematicas_Semana,Mate_Periodos_Matematicas_Semana_RECO,Mate_Minutos_Dura_Periodo_Matematicas,Mate_Minutos_Dura_Periodo_Matematicas_RECO,Lect_Dias_Semana_Lee_Periodicos,Lect_Dias_Semana_Lee_Periodicos_RECO,Lect_Periodico_Prefiere_Leer,Lc_Prensa_Libre,Lc_Siglo_XXI,Lc_El_Periodico,Lc_Nuestro_Diario,Lc_Diario_Centroamerica,Lc_Al_Dia,Lc_La_Hora,Lc_Publinews,Lc_Otro,Lect_Libros_Completos_Ha_Leido,Lect_Libros_Completos_Ha_Leido_RECO,Lect_Periodos_Lectura_Semana,Lect_Periodos_Lectura_Semana_RECO,Lect_Minutos_Dura_Periodo_Lectura,Lect_Minutos_Dura_Periodo_Lectura_RECO,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-2557-46,6856430727,53,467409,Ordinaria,1,05001607,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,05/11/1999,18,3,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,5,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS CONSOLA_VIDEOJUEGOS OTROS_ELECTRODOMESTICOS,1,1,1,1,1,0,1,1,1,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1  3,1,0,1,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2,2,2,1,1,1,1,6,6,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,1_2,1,2,2,40_49,4,0.798,2.361,2,4,0,1
05-02-2557-46,2264005619,53,467418,Ordinaria,1,05925433,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,04/08/2000,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,5,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,1,1,2,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS,1,1,1,0,1,0,1,1,0,0,Inodoro,0,0,1,1,Publico,0,0,0,1,0,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,4,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1,3,3,1,1,3,3,1,1,Mas6,7,40_49,4,2,2,Nuestrodiario,0,0,0,1,0,0,0,0,0,3_4,2,4,4,40_49,4,0.361,1.464,2,4,0,1
05-02-2557-46,4668842947,53,467415,Ordinaria,1,05974045,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,05/04/2001,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,2,1,1,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Comprada,0,0,0,1,Comprada_Embotellada,0,0,0,1,1,1,Leña  Gas,1,1,0,0,1,1,0,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD COMPUTADORAS CONSOLA_VIDEOJUEGOS,1,1,1,1,0,0,0,1,1,0,Inodoro,0,0,1,0,Publico,0,0,0,1,0,0,61_75,0,0,0,0,1,0,0,0,Propia,0,1,1,1,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Mas6,7,40_49,4,1,1,Nuestrodiario,0,0,0,1,0,0,0,0,0,Mas6,4,2,2,40_49,4,1.667,1.965,4,4,1,1
05-02-2557-46,3220817909,53,467411,Ordinaria,1,05807345,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,01/01/2001,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab,1,0,0,0,Mucho,3,0,,0,0,0,0,0,12,0,,0,0,0,0,0,0,0,0,1,4,1,4,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,Comprada_Embotellada,0,0,0,1,1,1,Gas  Electricidad,0,1,1,0,1,0,1,REFRIGERADOR HORNO_MICROONDAS COMPUTADORAS,0,1,0,0,0,0,1,1,0,0,Inodoro,0,0,1,1,Publico,0,0,0,1,0,0,31_45,0,0,1,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,1,3,3,2,2,3,3,1,1,Mas6,7,40_49,4,4,4,Prensalibre,1,0,0,0,0,0,0,0,0,5_6,3,6,6,40_49,4,1.215,2.149,3,4,1,1
05-02-2557-46,6664073331,53,467430,Ordinaria,1,05980827,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,30/06/2001,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,5,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,2,0,1,5,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Teja,0,0,1,0,0,Tuberia,0,0,1,0,Natural,1,0,0,0,1,1,Gas,0,1,0,1,1,1,1,TELEVISOR REFRIGERADOR LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS,1,1,0,0,1,0,1,1,0,0,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,31_45,0,0,1,0,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,Mas5,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,2,2,0,0,2,2,1,1,6,6,40_49,4,0,0,Nuestrodiario,0,0,0,1,0,0,0,0,0,1_2,1,Ninguno,0,,0,2.204,1.652,4,4,1,1
05-02-2557-46,8925842135,53,467431,Ordinaria,1,05677003,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,17/05/2001,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Lee Esc,1,0,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas  Electricidad,0,1,1,0,1,1,1,TELEVISOR REFRIGERADOR VHS_DVD LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS CONSOLA_VIDEOJUEGOS,1,1,0,1,1,0,1,1,1,0,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,46_60,0,0,0,1,0,0,0,0,Propia,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,6,6,4,4,Mas4,5,1,0,6,6,30_39,3,0,0,Prensalibre,1,0,0,0,0,0,0,0,0,Mas6,4,2,2,30_39,3,1.434,2.149,4,4,1,1
05-02-2557-46,0199747197,53,467421,Ordinaria,1,05762101,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,20/02/2001,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,TELEVISOR REFRIGERADOR VHS_DVD LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS CONSOLA_VIDEOJUEGOS OTROS_ELECTRODOMESTICOS,1,1,0,1,1,0,1,1,1,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,1,4,4,1,1,4,4,1,1,6,6,40_49,4,3,3,Prensalibre,1,0,0,0,0,0,0,0,0,3_4,2,5,5,40_49,4,1.092,1.119,3,4,1,1
05-02-2557-46,2692214534,53,467407,Ordinaria,1,05552233,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,17/08/2001,16,1,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,4,1,3,Madera_Fina,0,0,0,0,0,1,Block,0,0,0,0,1,0,Teja,0,0,1,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Leña  Gas  Electricidad,1,1,1,0,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA SECADORA_ROPA HORNO_MICROONDAS COMPUTADORAS CONSOLA_VIDEOJUEGOS OTROS_ELECTRODOMESTICOS,1,1,1,1,1,1,1,1,1,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,M_105,0,0,0,0,0,0,0,1,Propia,0,1,1,1,0,0,0,0,0,Mas5,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,Mas6,7,3,3,2,2,1,1,Mas6,7,40_49,4,4,4,Prensalibre,1,0,0,0,0,0,0,0,0,Mas6,4,Mas6,7,40_49,4,0.492,1.652,2,4,0,1
05-02-2557-46,4674717752,53,467438,Ordinaria,1,05993123,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,01/11/2000,17,2,1,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,5,Lo_Hablo,0,0,0,1,1,12,0,,0,0,0,0,0,0,0,0,1,4,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Comprada,0,0,0,1,Natural,1,0,0,0,1,1,Gas,0,1,0,1,1,1,0,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS OTROS_ELECTRODOMESTICOS,1,1,1,1,1,0,1,1,0,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,46_60,0,0,0,1,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,Mas6,7,1,1,2,2,1,1,6,6,40_49,4,0,0,Prensalibre,1,0,0,0,0,0,0,0,0,5_6,3,6,6,40_49,4,2.521,2.447,4,4,1,1
05-02-2557-46,4921928967,53,467448,Ordinaria,1,05410035,18,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,12/09/2001,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2018,2,2,2,1,Hab Ent Lee Esc,1,1,1,1,Mucho,3,0,,0,0,0,0,1,11,0,,0,0,0,0,0,0,0,0,1,5,1,4,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Comprada_Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,1,TELEVISOR REFRIGERADOR EQUIPO_SONIDO VHS_DVD LAVADORA_ROPA HORNO_MICROONDAS COMPUTADORAS OTROS_ELECTRODOMESTICOS,1,1,1,1,1,0,1,1,0,1,Inodoro,0,0,1,1,Bus_Escolar,0,0,0,0,1,0,31_45,0,0,1,0,0,0,0,0,Propia,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,2,2,2,2,4,4,1,1,6,6,40_49,4,1,1,Prensalibre,1,0,0,0,0,0,0,0,0,5_6,3,2,2,40_49,4,0.361,1.464,2,4,0,1
