Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Indicadores,Cod_Indicadores,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Direc_Estable,Tel_Estable,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Fecha_Nacimiento,Edad,Edad_Reco,Sexo_Reco,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Ciclo,Cod_Distrito,Año_Cierre,Etnia_Reco,Identificacion_Etnica_RECO,IE_Idioma_Materno_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado_Primaria,Ed_Que_Grados_Repitio,Gr_Primero,Gr_Segundo,Gr_Tercero,Gr_Cuarto,Gr_Quinto,Gr_Sexto,Ed_Trabaja_Actualmente,Ed_Jornada_Trabaja_RECO,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,Pp_Tierra,Pp_Madera_Rustica,Pp_Torta_Cemento,Pp_Piso_Granito,Pp_Piso_Ceramico,Pp_Madera_Fina,CC_Material_Predomina_En_Paredes_Casa,Pa_Madera_Rustica,Pa_Madera_Fina,Pa_Adobe,Pa_Lamina,Pa_Block,Pa_Ladrillo,CC_Material_Predomina_En_Techo_Casa,Pt_Material_Perecedero,Pt_Lamina,Pt_Teja,Pt_Duralita,Pt_Terraza_Fundida,CC_Como_Obtiene_El_Agua_Para_Lavar,Al_Fuente_Natural,Al_Chorro_Publico,Al_Tuberia,Al_Comprada,CC_Agua_Utiliza_Para_Beber,Ab_Natural,Ab_Chorro,Ab_Comprada_Cisterna,Ab_Comprada_Embotellada,CC_Electricidad,CC_Ambiente_Cocina_Separada,CC_Combustible_Utiliza_Cocina,CU_Leña,CU_Gas,CU_Electricidad,CC_Cuenta_Linea_Telefonica,CC_Tiene_Familia_Celular,CC_Servicio_Tv_Cable,CC_Servicio_Internet,CC_Electrodomesticos,Televisor,Refrigerador,Equipo_Sonido,VHS_DVD,Lavadora_Ropa,Secadora_Ropa,Horno_Microondas,Computadoras,Consola_Videojuegos,Otros_Electrodomesticos,CC_Tipo_Sanitarios,Cc_No_Hay,Cc_Letrina,Cc_Inodoro,CC_Familia_Automovil,CC_Como_Se_Moviliza_Usualmente,Cc_A_Pie,Cc_Bicicleta,Cc_Motocicleta,Cc_Publico,Cc_Bus_Escolar,Cc_Automovil,CC_Tiempo_Casa_Al_Establecimiento,Cc_0_15,Cc_16_30,Cc_31_45,Cc_46_60,Cc_61_75,Cc_76_90,Cc_91_105,Cc_M_105,Cc_Casa_Donde_Vive_Familia,Cc_Cuantos_Niveles_Construccion_Casa,Cc_Cuantos_Niveles_1,Cc_Cuantos_Niveles_2,Cc_Cuantos_Niveles_3,Cc_Cuantos_Niveles_4,Cc_Cuantos_Niveles_5,Cc_Cuantos_Niveles_Mas5,Cc_Cuantos_Dormitorios_Hay_En_Casa,Cc_Cuantos_Dormitorios_1,Cc_Cuantos_Dormitorios_2,Cc_Cuantos_Dormitorios_3,Cc_Cuantos_Dormitorios_4,Cc_Cuantos_Dormitorios_5,Cc_Cuantos_Dormitorios_Mas5,Cc_Cuantas_Personas_Viven_En_Casa,Cc_Cuantas_Personas_1,Cc_Cuantas_Personas_3,Cc_Cuantas_Personas_5,Cc_Cuantas_Personas_7,Cc_Cuantas_Personas_9,Cc_Cuantas_Personas_Mas10,Cc_Recibe_Remesas,Tec_Poseen_Comp_Estable_Uso_Alumnos,Tec_Utiliza_Computadora_Realizar_Tareas_Estable,Tec_Periodos_Semana_Utiliza_Computadora,Tec_Periodos_Semana_Utiliza_Computadora_RECO,Tec_Horas_Diarias_Uso_Compu_Estab,Tec_Horas_Diarias_Uso_Compu_Estab_RECO,Tec_Horas_Diarias_Uso_Compu_Casa,Tec_Horas_Diarias_Uso_Compu_Casa_RECO,Tec_Utiliza_Internet_Para_Investigaciones,Tec_Recibido_Curso_Computacion,Mate_Periodos_Matematicas_Semana,Mate_Periodos_Matematicas_Semana_RECO,Mate_Minutos_Dura_Periodo_Matematicas,Mate_Minutos_Dura_Periodo_Matematicas_RECO,Lect_Dias_Semana_Lee_Periodicos,Lect_Dias_Semana_Lee_Periodicos_RECO,Lect_Periodico_Prefiere_Leer,Lc_Prensa_Libre,Lc_Siglo_XXI,Lc_El_Periodico,Lc_Nuestro_Diario,Lc_Diario_Centroamerica,Lc_Al_Dia,Lc_La_Hora,Lc_Publinews,Lc_Otro,Lect_Libros_Completos_Ha_Leido,Lect_Libros_Completos_Ha_Leido_RECO,Lect_Periodos_Lectura_Semana,Lect_Periodos_Lectura_Semana_RECO,Lect_Minutos_Dura_Periodo_Lectura,Lect_Minutos_Dura_Periodo_Lectura_RECO,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-2557-46,0061902966,68,212325,Sí,1,0061902966,19,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,11/11/2000,18,3,0,Rural,12,Doble,33,Anual,1,05-007,2019,2,2,1,1,0,,0,0,0,0,0,0,0,0,1,4,1,4,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Fuente_Natural,1,0,0,0,Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,Tv Refri Sonido Vhs_Dvd Lavadora Micro Compu,1,1,1,1,1,0,1,1,0,0,Inodoro,0,0,1,1,Bus,0,0,0,0,1,0,0_15,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,2,2,2,2,1,1,1,1,3,3,40_49,4,0,0,Prensa,1,0,0,0,0,0,0,0,0,4,2,5,5,40_49,4,1.553,2.188,4,4,1,1
05-02-2557-46,0479262858,68,212269,Sí,1,0479262858,19,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,22/01/2002,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2019,2,2,1,1,0,,0,0,0,0,0,0,0,0,1,4,1,4,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,1,Tv Refri Sonido Vhs_Dvd Lavadora Micro Compu Consola Otros,1,1,1,1,1,0,1,1,1,1,Inodoro,0,0,1,1,Bus,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,Mas5,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,1,Mas6,7,2,2,3,3,1,1,5,5,40_49,4,3,3,Prensa,1,0,0,0,0,0,0,0,0,3,2,5,5,40_49,4,-0.098,2.935,1,4,0,1
05-02-2557-46,0676614849,68,212275,Sí,1,0676614849,19,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,14/11/2001,17,2,0,Rural,12,Doble,33,Anual,1,05-007,2019,2,2,1,1,0,,0,0,0,0,0,0,0,0,1,4,1,4,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Embotellada,0,0,0,1,1,1,Gas,0,1,0,1,1,1,1,Tv Refri Vhs_Dvd Lavadora Secadora Micro Compu Otros,1,1,0,1,1,1,1,1,0,1,Inodoro,0,0,1,1,Bus,0,0,0,0,1,0,46_60,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,3,3,2,2,Mas4,5,1,1,5,5,40_49,4,0,0,Nuestrodiario,0,0,0,1,0,0,0,0,0,6,3,5,5,40_49,4,1.673,2.401,4,4,1,1
05-02-2557-46,0683557796,68,212278,Sí,1,0683557796,19,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,11/10/2002,16,1,1,Rural,12,Doble,33,Anual,1,05-007,2019,2,2,1,1,0,,0,0,0,0,0,0,0,0,1,4,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,Embotellada,0,0,0,1,1,1,Gas Electricidad,0,1,1,1,1,1,1,Tv Refri Sonido Vhs_Dvd Lavadora Micro Compu,1,1,1,1,1,0,1,1,0,0,Inodoro,0,0,1,1,Bus,0,0,0,0,1,0,31_45,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,6,6,2,2,Mas4,5,1,0,5,5,40_49,4,0,0,Prensa,1,0,0,0,0,0,0,0,0,2,1,5,5,40_49,4,0.788,1.3,2,4,0,1
05-02-2557-46,0697648252,68,212277,Sí,1,0697648252,19,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,08/07/2002,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2019,2,2,1,1,0,,0,0,0,0,0,0,0,0,1,2,1,2,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Natural,1,0,0,0,1,1,Gas,0,1,0,1,1,1,1,Tv Refri Sonido Vhs_Dvd Lavadora Compu Consola,1,1,1,1,1,0,0,1,1,0,Inodoro,0,0,1,1,Bus,0,0,0,0,1,0,31_45,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,Mas6,7,Mas4,5,3,3,1,0,5,5,40_49,4,5,5,Prensa,1,0,0,0,0,0,0,0,0,4,2,5,5,40_49,4,-0.558,-0.312,1,1,0,0
05-02-2557-46,0825445266,68,212309,Sí,1,0825445266,19,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,16/08/2002,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2019,2,2,1,1,0,,0,0,0,0,0,0,0,0,1,3,1,2,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Terraza_Fundida,0,0,0,0,1,Tuberia,0,0,1,0,Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,0,0,Tv Refri Vhs_Dvd Lavadora Micro Compu Otros,1,1,0,1,1,0,1,1,0,1,Inodoro,0,0,1,1,Bus,0,0,0,0,1,0,31_45,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,Mas5,0,0,0,0,0,1,5,0,0,0,0,1,0,1,1,1,5,5,4,4,,9,1,0,5,5,40_49,4,2,2,Prensa,1,0,0,0,0,0,0,0,0,7,4,5,5,40_49,4,0.368,1.421,2,4,0,1
05-02-2557-46,1314919007,68,212281,Sí,1,1314919007,19,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,19/08/2002,16,1,1,Rural,12,Doble,33,Anual,1,05-007,2019,2,2,1,2,0,,0,0,0,0,0,0,0,0,1,1,1,2,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,Natural,1,0,0,0,1,1,Leña Gas,1,1,0,0,1,1,1,Tv Sonido Lavadora Compu,1,0,1,0,1,0,0,1,0,0,Inodoro,0,0,1,1,Bus,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,1,0,0,5,0,0,0,0,1,0,1,1,1,3,3,2,2,3,3,1,1,5,5,40_49,4,0,0,Nuestrodiario,0,0,0,1,0,0,0,0,0,4,2,5,5,40_49,4,1.736,2.364,4,4,1,1
05-02-2557-46,1479375889,68,212272,Sí,1,1479375889,19,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,29/04/2002,16,1,0,Rural,12,Doble,33,Anual,1,05-007,2019,2,2,1,1,0,,0,0,0,0,0,0,0,0,1,3,1,4,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,0,Tv Refri Sonido Vhs_Dvd Lavadora Secadora Micro Compu Consola Otros,1,1,1,1,1,1,1,1,1,1,Inodoro,0,0,1,1,Publico,0,0,0,1,0,0,16_30,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,1,1,1,4,4,Mas4,5,Mas4,5,1,1,5,5,40_49,4,0,0,Prensa,1,0,0,0,0,0,0,0,0,3,2,5,5,40_49,4,1.174,1.799,3,4,1,1
05-02-2557-46,1507004735,68,212316,Sí,1,1507004735,19,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,05/11/2000,18,3,1,Rural,12,Doble,33,Anual,1,05-007,2019,2,2,1,1,0,,0,0,0,0,0,0,0,0,1,4,1,2,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Tuberia,0,0,1,0,Embotellada,0,0,0,1,1,1,Gas,0,1,0,0,1,1,0,Tv Refri Sonido Lavadora Micro Compu Otros,1,1,1,0,1,0,1,1,0,1,Inodoro,0,0,1,0,Bus,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,1,2,2,1,1,1,1,1,0,5,5,40_49,4,1,1,Prensa,1,0,0,0,0,0,0,0,0,2,1,2,2,40_49,4,1.502,1.51,4,4,1,1
05-02-2557-46,1596517406,68,212285,Sí,1,1596517406,19,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Km. 92.5 Finca Camantulul Carretera A Mazatenango,79552800,Diversificado,46,Bachillerato,001,24/04/2003,15,1,1,Rural,12,Doble,33,Anual,1,05-007,2019,2,2,1,1,0,,0,0,0,0,0,0,0,0,2,0,1,4,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,0,1,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,Embotellada,0,0,0,1,1,0,Gas,0,1,0,1,1,1,1,Tv Refri Sonido Micro Compu Consola,1,1,1,0,0,0,1,1,1,0,Inodoro,0,0,1,1,Bus,0,0,0,0,1,0,16_30,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,1,0,0,5,0,0,0,0,1,0,1,1,1,4,4,2,2,Mas4,5,1,1,5,5,40_49,4,5,5,Periodico,0,0,1,0,0,0,0,0,0,2,1,5,5,40_49,4,0.758,1.965,2,4,0,1
