Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Tipo_Eval,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Edad,Edad_RECO,Sexo_RECO,Sector,Cod_Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Distrito,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,CC_Material_Predomina_En_Paredes_Casa,CC_Material_Predomina_En_Techo_Casa,Sc_Drenaje,Sc_Electricidad,Sc_Basura,Sc_Servicio_Internet,Sc_Neflix,CU_Leña,CU_Gas,CU_Electricidad,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Mate_Periodos_Matematicas_Semana,Lect_Periodos_Lectura_Semana,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-0232-46,0102836636,54,403978,050102836636,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,1,5,4,2,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,5,2,2,1,1,0,1,1,0,0,1,0,0.98,0.624,2,3,0,1
05-02-0232-46,0636830294,54,403954,050636830294,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,1,2,4,2,3,4,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,7,5,0,0,0,0,1,1,0,0,1,1,0.661,1.082,2,4,0,1
05-02-0232-46,0752639882,54,403997,050752639882,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,4,5,4,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,0,0,0,1,1,1.156,1.004,3,4,1,1
05-02-0232-46,0850375006,54,403966,050850375006,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,4,5,4,5,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,6,2,1,1,1,0,1,1,0,0,1,1,-0.45,0.733,1,3,0,1
05-02-0232-46,0850897782,54,403971,050850897782,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,3,4,4,5,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,5,1,2,1,1,0,1,0,0,1,1,1,0.769,0.666,2,3,0,1
05-02-0232-46,0944468201,54,403956,050944468201,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,2,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,5,1,1,1,0,1,0,0,0,1,1,0.79,0.992,2,4,0,1
05-02-0232-46,0948197628,54,403968,050948197628,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,3,5,4,2,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,5,5,5,1,1,0,1,1,0,1,1,1,0.102,0.443,2,2,0,0
05-02-0232-46,1001209962,54,403960,051001209962,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,1,2,0,0,2,1,2,1,4,4,2,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,3,4,3,1,0,1,0,0,0,0,1,1,0.206,0.34,2,2,0,0
05-02-0232-46,1293782607,54,403989,051293782607,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,1,4,2,3,5,4,5,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,6,5,0,0,0,0,1,1,0,0,1,1,-0.134,-0.047,1,2,0,0
05-02-0232-46,1433463108,54,403975,051433463108,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,2,2,3,5,4,2,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,5,5,5,1,1,0,1,0,0,0,1,1,0.137,0.455,2,2,0,0
