Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Edad,Edad_RECO,Sexo_RECO,Sector,Cod_Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Distrito,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,CC_Material_Predomina_En_Paredes_Casa,CC_Material_Predomina_En_Techo_Casa,Sc_Drenaje,Sc_Electricidad,Sc_Basura,Sc_Servicio_Internet,Sc_Neflix,CU_Leña,CU_Gas,CU_Electricidad,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Mate_Periodos_Matematicas_Semana,Lect_Periodos_Lectura_Semana,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-0232-46,0029351500,70,307145,050029351500,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,2,3,1,1,0,1,1,0,0,1,1,0.037,1.159,2,4,0,1
05-02-0232-46,0082902276,70,307092,050082902276,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,5,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,5,3,1,1,0,1,0,0,0,1,1,0.884,1.295,2,4,0,1
05-02-0232-46,0106717564,70,307138,050106717564,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,3,4,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,1,2,1,1,0,1,1,0,0,1,1,0.651,1.389,2,4,0,1
05-02-0232-46,0271123467,70,307144,050271123467,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,1,2,3,2,3,6,6,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,5,5,4,1,1,0,1,1,0,0,1,1,-0.921,-0.379,1,1,0,0
05-02-0232-46,0362113587,70,307143,050362113587,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,1,2,3,2,3,4,4,2,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,5,1,1,0,0,0,1,1,0,0,1,1,-0.394,-0.457,1,1,0,0
05-02-0232-46,0653669229,70,307129,050653669229,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,3,4,4,2,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,5,5,3,1,1,0,1,1,0,0,1,1,0.901,1.107,2,4,0,1
05-02-0232-46,0913985452,70,307089,050913985452,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,3,5,4,2,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,5,5,3,1,1,0,1,1,0,0,1,1,-0.362,0.237,1,2,0,0
05-02-0232-46,0915932753,70,307093,050915932753,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,2,5,3,2,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,5,2,1,1,0,1,0,0,0,1,1,4.064,2.016,4,4,1,1
05-02-0232-46,0950459112,70,307118,050950459112,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,2,2,2,4,4,2,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,0,0,0,1,0,0,0,1,1,1.363,1.804,3,4,1,1
05-02-0232-46,1161195258,70,307111,051161195258,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,3,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,5,5,1,1,1,0,1,1,0,0,1,1,0.677,0.761,2,3,0,1
