variable,category,count,percent
nivel_mate,2,23,38.98
nivel_mate,1,17,28.81
nivel_mate,3,13,22.03
nivel_mate,4,6,10.17
nivel_lectura,4,34,57.63
nivel_lectura,2,10,16.95
nivel_lectura,3,9,15.25
nivel_lectura,1,6,10.17
logro_mate,0,40,67.8
logro_mate,1,19,32.2
logro_lectura,1,43,72.88
logro_lectura,0,16,27.12
periodos_semanales_mate,5,53,89.83
periodos_semanales_mate,3,5,8.47
periodos_semanales_mate,4,1,1.69
periodos_semanales_lectura,1,48,81.36
periodos_semanales_lectura,5,5,8.47
periodos_semanales_lectura,4,2,3.39
periodos_semanales_lectura,2,2,3.39
periodos_semanales_lectura,3,1,1.69
periodos_semanales_lectura,0,1,1.69
trabaja,0,54,91.53
trabaja,1,3,5.08
trabaja,#NULL!,2,3.39
acceso_internet,1,33,55.93
acceso_internet,0,26,44.07
asistencia_primaria,0,54,91.53
asistencia_primaria,1,5,8.47
sexo,1,34,57.63
sexo,0,25,42.37
padre_asistio_escuela,1,49,83.05
padre_asistio_escuela,2,7,11.86
padre_asistio_escuela,#NULL!,2,3.39
padre_asistio_escuela,0,1,1.69
grado_alcanzado_padre,3,17,28.81
grado_alcanzado_padre,4,15,25.42
grado_alcanzado_padre,0,10,16.95
grado_alcanzado_padre,2,8,13.56
grado_alcanzado_padre,1,7,11.86
grado_alcanzado_padre,5,2,3.39
madre_asistio_escuela,1,54,91.53
madre_asistio_escuela,0,3,5.08
madre_asistio_escuela,2,2,3.39
grado_alcanzado_madre,3,24,40.68
grado_alcanzado_madre,4,14,23.73
grado_alcanzado_madre,1,9,15.25
grado_alcanzado_madre,0,5,8.47
grado_alcanzado_madre,2,4,6.78
grado_alcanzado_madre,5,3,5.08
grupo_etnico,2,56,94.92
grupo_etnico,5,1,1.69
grupo_etnico,1,1,1.69
grupo_etnico,3,1,1.69
rep_primaria,0,54,91.53
rep_primaria,1,5,8.47
