variable,category,count,percent
nivel_mate,2,26,49.06
nivel_mate,4,16,30.19
nivel_mate,1,9,16.98
nivel_mate,3,2,3.77
nivel_lectura,4,32,60.38
nivel_lectura,2,10,18.87
nivel_lectura,3,9,16.98
nivel_lectura,1,2,3.77
logro_mate,0,35,66.04
logro_mate,1,18,33.96
logro_lectura,1,41,77.36
logro_lectura,0,12,22.64
periodos_semanales_mate,6,36,67.92
periodos_semanales_mate,7,13,24.53
periodos_semanales_mate,4,3,5.66
periodos_semanales_mate,5,1,1.89
periodos_semanales_lectura,2,25,47.17
periodos_semanales_lectura,3,7,13.21
periodos_semanales_lectura,4,6,11.32
periodos_semanales_lectura,5,5,9.43
periodos_semanales_lectura,7,4,7.55
periodos_semanales_lectura,6,4,7.55
periodos_semanales_lectura,0,1,1.89
periodos_semanales_lectura,1,1,1.89
trabaja,0,51,96.23
trabaja,1,2,3.77
acceso_internet,1,34,64.15
acceso_internet,0,19,35.85
asistencia_primaria,1,50,94.34
asistencia_primaria,0,3,5.66
sexo,1,32,60.38
sexo,0,21,39.62
padre_asistio_escuela,1,48,90.57
padre_asistio_escuela,0,3,5.66
padre_asistio_escuela,2,2,3.77
grado_alcanzado_padre,3,28,52.83
grado_alcanzado_padre,4,9,16.98
grado_alcanzado_padre,1,7,13.21
grado_alcanzado_padre,0,5,9.43
grado_alcanzado_padre,2,3,5.66
grado_alcanzado_padre,5,1,1.89
madre_asistio_escuela,1,52,98.11
madre_asistio_escuela,0,1,1.89
grado_alcanzado_madre,3,26,49.06
grado_alcanzado_madre,4,11,20.75
grado_alcanzado_madre,1,8,15.09
grado_alcanzado_madre,2,6,11.32
grado_alcanzado_madre,5,1,1.89
grado_alcanzado_madre,0,1,1.89
grupo_etnico,2,52,98.11
grupo_etnico,1,1,1.89
rep_primaria,0,52,98.11
rep_primaria,1,1,1.89
