variable,category,count,percent
nivel_mate,debe mejorar,27,39.71
nivel_mate,insatisfactorio,17,25.0
nivel_mate,excelente,14,20.59
nivel_mate,satisfactorio,10,14.71
nivel_lectura,excelente,47,69.12
nivel_lectura,debe mejorar,9,13.24
nivel_lectura,insatisfactorio,6,8.82
nivel_lectura,satisfactorio,6,8.82
logro_mate,no logro,44,64.71
logro_mate,logro,24,35.29
logro_lectura,logro,53,77.94
logro_lectura,no logro,15,22.06
periodos_semanales_mate,5 periodos,49,72.06
periodos_semanales_mate,6 periodos,11,16.18
periodos_semanales_mate,4 periodos,4,5.88
periodos_semanales_mate,3 periodos,2,2.94
periodos_semanales_mate,7 o mas,2,2.94
periodos_semanales_lectura,5 periodos,36,52.94
periodos_semanales_lectura,1 periodo,9,13.24
periodos_semanales_lectura,4 periodos,8,11.76
periodos_semanales_lectura,2 periodos,4,5.88
periodos_semanales_lectura,6 periodos,4,5.88
periodos_semanales_lectura,3 periodos,4,5.88
periodos_semanales_lectura,ninguno,3,4.41
trabaja,No,65,95.59
trabaja,Sí,3,4.41
acceso_internet,Sí,57,83.82
acceso_internet,No,11,16.18
asistencia_preprimaria,Sí,63,92.65
asistencia_preprimaria,No,2,2.94
sexo,Masculino,40,58.82
sexo,Fememnino,28,41.18
padre_asistio_escuela,Sí,66,97.06
padre_asistio_escuela,No sabe,2,2.94
grado_alcanzado_padre,Diversificado,25,36.76
grado_alcanzado_padre,Universidad,24,35.29
grado_alcanzado_padre,posgrado,8,11.76
grado_alcanzado_padre,Primaria,5,7.35
grado_alcanzado_padre,Básicos,4,5.88
grado_alcanzado_padre,No sabe / No asistió,2,2.94
madre_asistio_escuela,Sí,67,98.53
madre_asistio_escuela,No sabe,1,1.47
grado_alcanzado_madre,Universidad,25,36.76
grado_alcanzado_madre,Diversificado,23,33.82
grado_alcanzado_madre,Básicos,7,10.29
grado_alcanzado_madre,Primaria,7,10.29
grado_alcanzado_madre,posgrado,4,5.88
grado_alcanzado_madre,No sabe / No asistió,2,2.94
grupo_etnico,Ladino,67,98.53
grupo_etnico,Sin respuesta,1,1.47
rep_primaria,No,65,95.59
rep_primaria,Sí,3,4.41
